"Name","Item","Color","Quantity","Quality","Priority","URL","Date","Mode","Loot"
"Falassion","Scroll of Protection IV","ffffffff"," 2","White","1","https://classicdb.ch/?item=10305","2018.02.17","loot","13:52:24"
"Falassion","Major Healing Potion","ffffffff"," 3","White","1","https://classicdb.ch/?item=13446","2018.02.17","loot","13:52:24"
"Esk","Clout Mace","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=13820","2018.02.17","loot","13:52:28"
"Falassion","Scroll of Spirit IV","ffffffff"," 4","White","1","https://classicdb.ch/?item=10306","2018.02.17","loot","13:52:50"
"Falassion","Scroll of Intellect IV","ffffffff"," 3","White","1","https://classicdb.ch/?item=10308","2018.02.17","loot","13:52:52"
"Falassion","Tapered Greatsword","ff9d9d9d"," 2","Grey","0","https://classicdb.ch/?item=13817","2018.02.17","loot","13:52:54"
"Sodanickel","Runecloth","ffffffff"," 24","White","1","https://classicdb.ch/?item=14047","2018.02.17","loot","13:53:24"
"Sodanickel","Overlinked Coif","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=8751","2018.02.17","loot","13:53:24"
"Esk","Invader's Scourgestone","ffffffff"," 6","White","1","https://classicdb.ch/?item=12841","2018.02.17","loot","13:53:24"
"Naraak","Spiked Dagger","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=13822","2018.02.17","loot","13:54:54"
"Naraak","Scroll of Strength IV","ffffffff"," 1","White","1","https://classicdb.ch/?item=10310","2018.02.17","loot","13:54:54"
"Falassion","Traveler's Belt","ff1eff00"," 1","Green","2","https://classicdb.ch/?item=8293","2018.02.17","loot","13:55:09"
"Esk","Dried King Bolete","ffffffff"," 2","White","1","https://classicdb.ch/?item=8948","2018.02.17","loot","13:56:30"
"Falassion","Smooth Leather Pants","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3974","2018.02.17","loot","13:56:37"
"Falassion","Scroll of Stamina IV","ffffffff"," 2","White","1","https://classicdb.ch/?item=10307","2018.02.17","loot","13:56:38"
"Falassion","Twill Bracers","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3946","2018.02.17","loot","13:58:26"
"Esk","Major Mana Potion","ffffffff"," 2","White","1","https://classicdb.ch/?item=13444","2018.02.17","loot","13:58:45"
"Falassion","Smooth Leather Boots","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3970","2018.02.17","loot","13:58:48"
"Falassion","Twill Gloves","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3948","2018.02.17","loot","13:58:49"
"Naraak","Major Mana Potion","ffffffff"," 1","White","1","https://classicdb.ch/?item=13444","2018.02.17","loot","14:00:56"
"Esk","Laminated Scale Pants","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3997","2018.02.17","loot","14:01:08"
"Sodanickel","Scroll of Protection IV","ffffffff"," 1","White","1","https://classicdb.ch/?item=10305","2018.02.17","loot","14:05:42"
"Naraak","Thick Leather Belt","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3961","2018.02.17","loot","14:05:49"
"Falassion","Alterac Swiss","ffffffff"," 1","White","1","https://classicdb.ch/?item=8932","2018.02.17","loot","14:09:05"
"Falassion","Major Mana Potion","ffffffff"," 1","White","1","https://classicdb.ch/?item=13444","2018.02.17","loot","14:09:05"
"Sodanickel","Overlinked Chain Boots","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=4001","2018.02.17","loot","14:09:37"
"Falassion","Scarlet Cannonball","ffffffff"," 5","White","1","https://classicdb.ch/?item=12973","2018.02.17","loot","14:11:40"
"Naraak","Morning Glory Dew","ffffffff"," 3","White","1","https://classicdb.ch/?item=8766","2018.02.17","loot","14:12:30"
"Esk","Crochet Cloak","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3939","2018.02.17","loot","14:14:08"
"Falassion","Crochet Boots","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3937","2018.02.17","loot","14:20:28"
"Rockshow","Runecloth","ffffffff"," 1","White","1","https://classicdb.ch/?item=14047","2018.02.17","loot","14:24:59"
"Esk","Head of Balnazzar","ffffffff"," 1","White","1","https://classicdb.ch/?item=13250","2018.02.17","loot","14:25:18"
"Naraak","Dried King Bolete","ffffffff"," 2","White","1","https://classicdb.ch/?item=8948","2018.02.17","loot","14:28:34"
"Sodanickel","Major Healing Potion","ffffffff"," 2","White","1","https://classicdb.ch/?item=13446","2018.02.17","loot","14:28:57"
"Rockshow","Morning Glory Dew","ffffffff"," 2","White","1","https://classicdb.ch/?item=8766","2018.02.17","loot","14:29:33"
"Naraak","Twill Pants","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3949","2018.02.17","loot","14:29:46"
"Falassion","Morning Glory Dew","ffffffff"," 1","White","1","https://classicdb.ch/?item=8766","2018.02.17","loot","14:32:50"
"Falassion","Laminated Scale Shoulderpads","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3998","2018.02.17","loot","14:32:50"
"Sodanickel","Superior Healing Potion","ffffffff"," 1","White","1","https://classicdb.ch/?item=3928","2018.02.17","loot","14:34:08"
"Falassion","Twill Belt","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3944","2018.02.17","loot","14:35:08"
"Falassion","Thick Leather Gloves","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3965","2018.02.17","loot","14:36:06"
"Falassion","Balanced War Axe","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=13819","2018.02.17","loot","14:38:49"
"Sodanickel","Siabi's Premium Tobacco","ffffffff"," 1","White","1","https://classicdb.ch/?item=13172","2018.02.17","loot","14:38:50"
"Falassion","Bulky Maul","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=13821","2018.02.17","loot","14:38:52"
"Rockshow","Siabi's Premium Tobacco","ffffffff"," 1","White","1","https://classicdb.ch/?item=13172","2018.02.17","loot","14:39:04"
"Esk","Siabi's Premium Tobacco","ffffffff"," 1","White","1","https://classicdb.ch/?item=13172","2018.02.17","loot","14:39:09"
"Naraak","Thick Leather Pants","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3966","2018.02.17","loot","14:39:42"
"Sodanickel","Dried King Bolete","ffffffff"," 4","White","1","https://classicdb.ch/?item=8948","2018.02.17","loot","14:43:00"
"Falassion","Smooth Stone Chip","ff9d9d9d"," 3","Grey","0","https://classicdb.ch/?item=4552","2018.02.17","loot","14:43:01"
"Sodanickel","Blindweed","ffffffff"," 1","White","1","https://classicdb.ch/?item=8839","2018.02.17","loot","14:46:36"
"Sodanickel","Dripping Spider Mandible","ff9d9d9d"," 3","Grey","0","https://classicdb.ch/?item=4585","2018.02.17","loot","14:46:36"
"Sodanickel","Thick Spider's Silk","ffffffff"," 2","White","1","https://classicdb.ch/?item=4337","2018.02.17","loot","14:46:36"
"Esk","Smooth Stone Chip","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=4552","2018.02.17","loot","14:46:38"
"Sodanickel","Crochet Pants","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3941","2018.02.17","loot","14:49:58"
"Sodanickel","Hard Spider Leg Tip","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=1074","2018.02.17","loot","14:49:58"
"Naraak","Hard Spider Leg Tip","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=1074","2018.02.17","loot","14:52:19"
"Naraak","Dripping Spider Mandible","ff9d9d9d"," 3","Grey","0","https://classicdb.ch/?item=4585","2018.02.17","loot","14:52:19"
"Esk","Scourge Data","ffffffff"," 1","White","1","https://classicdb.ch/?item=13176","2018.02.17","loot","14:52:24"
"Falassion","Blunting Mace","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=4021","2018.02.17","loot","14:52:53"
"Falassion","Laminated Scale Cloak","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3995","2018.02.17","loot","14:54:21"
"Falassion","Fine Longsword","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=13816","2018.02.17","loot","14:55:14"
"Naraak","Shadow Silk","ffffffff"," 1","White","1","https://classicdb.ch/?item=10285","2018.02.17","loot","15:02:38"
"Naraak","Alterac Swiss","ffffffff"," 1","White","1","https://classicdb.ch/?item=8932","2018.02.17","loot","15:04:48"
"Naraak","Smooth Leather Shoulderpads","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3975","2018.02.17","loot","15:04:49"
"Naraak","Overlinked Chain Armor","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=4007","2018.02.17","loot","15:04:57"
"Esk","Stratholme Holy Water","ffffffff"," 1","White","1","https://classicdb.ch/?item=13180","2018.02.17","loot","15:06:17"
"Falassion","Pattern: Brightcloth Pants","ff1eff00"," 1","Green","2","https://classicdb.ch/?item=14494","2018.02.17","loot","15:07:04"
"Falassion","Light Plate Chestpiece","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=8080","2018.02.17","loot","15:08:54"
"Sodanickel","Stratholme Holy Water","ffffffff"," 1","White","1","https://classicdb.ch/?item=13180","2018.02.17","loot","15:09:06"
"Falassion","Laminated Scale Bracers","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3994","2018.02.17","loot","15:11:02"
"Esk","Dreamfoil","ffffffff"," 1","White","1","https://classicdb.ch/?item=13463","2018.02.17","loot","15:12:52"
"Esk","Twill Boots","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3945","2018.02.17","loot","15:12:52"
"Esk","Engraved Bracers of the Owl","ff1eff00"," 1","Green","2","https://classicdb.ch/?item=10229","2018.02.17","loot","15:12:52"
"Sodanickel","Major Mana Potion","ffffffff"," 1","White","1","https://classicdb.ch/?item=13444","2018.02.17","loot","15:17:29"
"Falassion","Crochet Vest","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3943","2018.02.17","loot","15:17:32"
"Sodanickel","Heavy War Staff","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=4024","2018.02.17","loot","15:19:41"
"Falassion","Jagged Axe","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=13818","2018.02.17","loot","15:20:26"
"Esk","Head of Baron Rivendare","ffffffff"," 1","White","1","https://classicdb.ch/?item=13251","2018.02.17","loot","15:26:46"
"Naraak","Greater Eternal Essence","ff1eff00"," 2","Green","2","https://classicdb.ch/?item=16203","2018.02.17","loot","15:28:34"
"Naraak","Large Brilliant Shard","ff0070dd"," 1","Blue","3","https://classicdb.ch/?item=14344","2018.02.17","loot","15:28:46"
"Naraak","Illusion Dust","ffffffff"," 1","White","1","https://classicdb.ch/?item=16204","2018.02.17","loot","15:28:57"
"Papichulo","Runecloth","ffffffff"," 9","White","1","https://classicdb.ch/?item=14047","2018.01.26","loot","15:28:06"
"Ivyfang","Stratholme Holy Water","ffffffff"," 3","White","1","https://classicdb.ch/?item=13180","2018.01.26","loot","15:28:17"
"Runninggag","Ichor of Undeath","ffffffff"," 1","White","1","https://classicdb.ch/?item=7972","2018.01.26","loot","15:28:19"
"Runninggag","Nightcrawlers","ffffffff"," 3","White","1","https://classicdb.ch/?item=6530","2018.01.26","loot","15:28:59"
"Runninggag","Runecloth","ffffffff"," 7","White","1","https://classicdb.ch/?item=14047","2018.01.26","loot","15:29:39"
"Naraak","Runecloth","ffffffff"," 5","White","1","https://classicdb.ch/?item=14047","2018.01.26","loot","15:32:50"
"Papichulo","Superior Healing Potion","ffffffff"," 1","White","1","https://classicdb.ch/?item=3928","2018.01.26","loot","15:33:00"
"Papichulo","Stratholme Holy Water","ffffffff"," 1","White","1","https://classicdb.ch/?item=13180","2018.01.26","loot","15:33:01"
"Naraak","Sharp Shortsword","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=4017","2018.01.26","loot","15:34:34"
"Ivyfang","Runecloth","ffffffff"," 3","White","1","https://classicdb.ch/?item=14047","2018.01.26","loot","15:39:48"
"Naraak","Crochet Boots","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3937","2018.01.26","loot","15:40:23"
"Naraak","Alterac Swiss","ffffffff"," 1","White","1","https://classicdb.ch/?item=8932","2018.01.26","loot","15:40:44"
"Runninggag","Overlinked Chain Boots","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=4001","2018.01.26","loot","15:42:51"
"Naraak","Laminated Scale Pants","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3997","2018.01.26","loot","15:43:21"
"Papichulo","Crochet Shoulderpads","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3942","2018.01.26","loot","15:43:41"
"Papichulo","Crochet Gloves","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3940","2018.01.26","loot","15:44:14"
"Runninggag","Light Plate Shoulderpads","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=8086","2018.01.26","loot","15:44:25"
"Naraak","Thick Leather Pants","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3966","2018.01.26","loot","15:45:06"
"Naraak","Plans: Serenity","ff1eff00"," 1","Green","2","https://classicdb.ch/?item=12827","2018.01.26","loot","15:45:54"
"Papichulo","Smooth Leather Boots","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3970","2018.01.26","loot","15:49:26"
"Blingblink","Runecloth","ffffffff"," 1","White","1","https://classicdb.ch/?item=14047","2018.01.26","loot","15:49:29"
"Runninggag","Alterac Swiss","ffffffff"," 1","White","1","https://classicdb.ch/?item=8932","2018.01.26","loot","15:49:52"
"Papichulo","Twill Pants","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=3949","2018.01.26","loot","15:50:39"
"Naraak","Dried King Bolete","ffffffff"," 1","White","1","https://classicdb.ch/?item=8948","2018.01.26","loot","15:50:46"
"Saturnias","Ancient Armor Fragment","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=21224","2018.01.09","loot","11:25:27"
"Jimbaws","Armored Chitin","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=21222","2018.01.09","loot","11:30:50"
"Sesek","Scarab Bag","ffffffff"," 1","White","1","https://classicdb.ch/?item=21156","2018.01.09","loot","11:31:03"
"Sesek","Stone Scarab","ff1eff00"," 1","Green","2","https://classicdb.ch/?item=20858","2018.01.09","loot","11:31:44"
"Sesek","Gold Scarab","ff1eff00"," 1","Green","2","https://classicdb.ch/?item=20859","2018.01.09","loot","11:31:45"
"Sesek","Silver Scarab","ff1eff00"," 1","Green","2","https://classicdb.ch/?item=20860","2018.01.09","loot","11:31:46"
"Sesek","Crystal Scarab","ff1eff00"," 1","Green","2","https://classicdb.ch/?item=20862","2018.01.09","loot","11:31:47"
"Sesek","Bone Scarab","ff1eff00"," 1","Green","2","https://classicdb.ch/?item=20864","2018.01.09","loot","11:31:47"
"Sesek","Ivory Scarab","ff1eff00"," 1","Green","2","https://classicdb.ch/?item=20865","2018.01.09","loot","11:31:48"
"Klonal","Heavy Silithid Husk","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=21225","2018.01.09","loot","11:32:58"
"Klonal","Armored Chitin","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=21222","2018.01.09","loot","11:32:59"
"Saturnias","Qiraji Magisterial Ring","ff0070dd"," 1","Blue","3","https://classicdb.ch/?item=20884","2018.01.09","loot","11:37:33"
"Daemontools","Sand Reaver Wristguards","ff0070dd"," 1","Blue","3","https://classicdb.ch/?item=21502","2018.01.09","loot","11:37:58"
"Falassion","Tablet of Grace of Air Totem III","ff0070dd"," 1","Blue","3","https://classicdb.ch/?item=21293","2018.01.09","loot","11:38:02"
"Pyumanou","Scarab Coffer Key","ffffffff"," 1","White","1","https://classicdb.ch/?item=21761","2018.01.09","loot","11:41:20"
"Pyumanou","Armored Chitin","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=21222","2018.01.09","loot","11:41:21"
"Pumbah","Black Ash Robe","ffa335ee"," 1","Epic","4","https://classicdb.ch/?item=19399","2017.12.31","loot","07:54:42"
"Naishaa","Rejuvenating Gem","ffa335ee"," 1","Epic","4","https://classicdb.ch/?item=19395","2017.12.31","loot","07:56:22"
"Hildusorthus","Hourglass Sand","ffffffff"," 2","White","1","https://classicdb.ch/?item=19183","2017.12.31","loot","07:58:28"
"Shaucks","Hourglass Sand","ffffffff"," 33","White","1","https://classicdb.ch/?item=19183","2017.12.31","loot","07:58:35"
"Shaucks","Runecloth","ffffffff"," 15","White","1","https://classicdb.ch/?item=14047","2017.12.31","loot","07:58:42"
"Hildusorthus","Major Healing Potion","ffffffff"," 1","White","1","https://classicdb.ch/?item=13446","2017.12.31","loot","07:58:49"
"Shaucks","Pattern: Chimeric Vest","ff1eff00"," 1","Green","2","https://classicdb.ch/?item=15755","2017.12.31","loot","07:58:52"
"Digs","Black Dragonscale","ffffffff"," 7","White","1","https://classicdb.ch/?item=15416","2017.12.31","loot","07:59:05"
"Digs","Green Dragonscale","ffffffff"," 1","White","1","https://classicdb.ch/?item=15412","2017.12.31","loot","07:59:15"
"Shaucks","Elementium Ore","ffa335ee"," 5","Epic","4","https://classicdb.ch/?item=18562","2017.12.31","loot","07:59:16"
"Josaca","Roasted Quail","ffffffff"," 4","White","1","https://classicdb.ch/?item=8952","2017.12.31","loot","07:59:33"
"Digs","Hourglass Sand","ffffffff"," 1","White","1","https://classicdb.ch/?item=19183","2017.12.31","loot","08:00:52"
"Digs","Major Healing Potion","ffffffff"," 2","White","1","https://classicdb.ch/?item=13446","2017.12.31","loot","08:00:56"
"Koiraa","Roasted Quail","ffffffff"," 3","White","1","https://classicdb.ch/?item=8952","2017.12.31","loot","08:01:01"
"Silviu","Major Healing Potion","ffffffff"," 1","White","1","https://classicdb.ch/?item=13446","2017.12.31","loot","08:01:23"
"Digs","Rugged Leather","ffffffff"," 10","White","1","https://classicdb.ch/?item=8170","2017.12.31","loot","08:01:50"
"Mistabulldop","Hourglass Sand","ffffffff"," 1","White","1","https://classicdb.ch/?item=19183","2017.12.31","loot","08:05:40"
"Digs","Rugged Hide","ffffffff"," 1","White","1","https://classicdb.ch/?item=8171","2017.12.31","loot","08:07:29"
"Fake","Morning Glory Dew","ffffffff"," 1","White","1","https://classicdb.ch/?item=8766","2017.12.31","loot","08:07:54"
"Shaucks","Plans: Thorium Leggings","ff1eff00"," 1","Green","2","https://classicdb.ch/?item=12704","2017.12.31","loot","08:08:15"
"Fletcherreed","Hourglass Sand","ffffffff"," 1","White","1","https://classicdb.ch/?item=19183","2017.12.31","loot","08:08:32"
"Chipmoonk","Hourglass Sand","ffffffff"," 1","White","1","https://classicdb.ch/?item=19183","2017.12.31","loot","08:08:39"
"Mistabulldop","Scroll of Intellect IV","ffffffff"," 1","White","1","https://classicdb.ch/?item=10308","2017.12.31","loot","08:10:20"
"Shaucks","Thorium Lockbox","ff1eff00"," 1","Green","2","https://classicdb.ch/?item=5759","2017.12.31","loot","08:10:43"
"Hildusorthus","Scroll of Protection IV","ffffffff"," 1","White","1","https://classicdb.ch/?item=10305","2017.12.31","loot","08:10:48"
"Shaucks","Bloodlust Britches","ff1eff00"," 1","Green","2","https://classicdb.ch/?item=14805","2017.12.31","loot","08:12:45"
"Fake","Scroll of Intellect IV","ffffffff"," 1","White","1","https://classicdb.ch/?item=10308","2017.12.31","loot","08:12:52"
"Warrock","Hourglass Sand","ffffffff"," 1","White","1","https://classicdb.ch/?item=19183","2017.12.31","loot","08:13:18"
"Shaucks","Major Mana Potion","ffffffff"," 1","White","1","https://classicdb.ch/?item=13444","2017.12.31","loot","08:13:20"
"Digs","Worn Dragonscale","ffffffff"," 2","White","1","https://classicdb.ch/?item=8165","2017.12.31","loot","08:13:30"
"Shaucks","Morning Glory Dew","ffffffff"," 2","White","1","https://classicdb.ch/?item=8766","2017.12.31","loot","08:14:19"
"Digs","Scroll of Stamina IV","ffffffff"," 1","White","1","https://classicdb.ch/?item=10307","2017.12.31","loot","08:14:31"
"Virii","Roasted Quail","ffffffff"," 2","White","1","https://classicdb.ch/?item=8952","2017.12.31","loot","08:16:32"
"Pumbah","Drake Talon Cleaver","ffa335ee"," 1","Epic","4","https://classicdb.ch/?item=19353","2017.12.31","loot","08:23:06"
"Kardark","Band of Forced Concentration","ffa335ee"," 1","Epic","4","https://classicdb.ch/?item=19403","2017.12.31","loot","08:25:25"
"Leafx","Taut Dragonhide Belt","ffa335ee"," 1","Epic","4","https://classicdb.ch/?item=19396","2017.12.31","loot","08:26:12"
"Mistabulldop","Circle of Applied Force","ffa335ee"," 1","Epic","4","https://classicdb.ch/?item=19432","2017.12.31","loot","08:26:58"
"Wintermage","Ringo's Blizzard Boots","ffa335ee"," 1","Epic","4","https://classicdb.ch/?item=19438","2017.12.31","loot","08:30:14"
"Virii","Ashjre'thul Crossbow of Smiting","ffa335ee"," 1","Epic","4","https://classicdb.ch/?item=19361","2017.12.31","loot","08:38:24"
"Rudwis","Dragonstalker's Spaulders","ffa335ee"," 1","Epic","4","https://classicdb.ch/?item=16937","2017.12.31","loot","08:39:52"
"Naishaa","Taut Dragonhide Shoulderpads","ffa335ee"," 1","Epic","4","https://classicdb.ch/?item=19389","2017.12.31","loot","08:40:20"
"Fletcherreed","Red Scepter Shard","ffffffff"," 1","White","1","https://classicdb.ch/?item=21138","2017.12.31","loot","09:04:52"
"Shaucks","Blue Sack of Gems","ff1eff00"," 1","Green","2","https://classicdb.ch/?item=17962","2017.12.31","loot","09:05:56"
"Nemoes","Hyperion Gauntlets of the Bear","ff1eff00"," 1","Green","2","https://classicdb.ch/?item=10386","2017.12.31","loot","09:06:40"
"Ziggizag","Rugged Leather","ffffffff"," 32","White","1","https://classicdb.ch/?item=8170","2017.12.28","loot","15:14:22"
"Verus","Rugged Leather","ffffffff"," 9","White","1","https://classicdb.ch/?item=8170","2017.12.28","loot","15:14:27"
"Zessy","Large Bat Fang","ff9d9d9d"," 3","Grey","0","https://classicdb.ch/?item=11403","2017.12.28","loot","15:18:04"
"Zessy","Evil Bat Eye","ffffffff"," 3","White","1","https://classicdb.ch/?item=11404","2017.12.28","loot","15:18:04"
"Ziggizag","Primal Bat Leather","ffffffff"," 2","White","1","https://classicdb.ch/?item=19767","2017.12.28","loot","15:18:08"
"Verus","Runecloth","ffffffff"," 2","White","1","https://classicdb.ch/?item=14047","2017.12.28","loot","15:18:20"
"Verus","Large Bat Fang","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=11403","2017.12.28","loot","15:18:25"
"Verus","Rugged Hide","ffffffff"," 1","White","1","https://classicdb.ch/?item=8171","2017.12.28","loot","15:20:20"
"Daemontools","Evil Bat Eye","ffffffff"," 2","White","1","https://classicdb.ch/?item=11404","2017.12.28","loot","15:20:23"
"Ziggizag","Large Bat Fang","ff9d9d9d"," 1","Grey","0","https://classicdb.ch/?item=11403","2017.12.28","loot","15:20:28"
